Rinkeby-Kista,46792
Spånga-Tensta,38115
Hässelby-Vällingby,66721
Bromma,67096
Kungsholmen,63120
Norrmalm,67687
Östermalm,66521
Södermalm,123468
Enskede-Årsta-Vantör,92071
Skarpnäck,43961
Farsta,51987
Älvsjö,25660
Hägersten-Liljeholmen,76710
Skärholmen,34415
